prediction_index,threshold,TPs,FPs,FNs,Precision,Recall,Random-Guess
0,0.6502267122268677,38,28,123,0.5757575757575758,0.2360248447204969,0.5348837209302325
0,0.6501144170761108,39,28,122,0.582089552238806,0.2422360248447205,0.5348837209302325
0,0.6500410437583923,39,29,122,0.5735294117647058,0.2422360248447205,0.5348837209302325
0,0.6498446464538574,39,30,122,0.5652173913043478,0.2422360248447205,0.5348837209302325
0,0.6496467590332031,40,30,121,0.5714285714285714,0.2484472049689441,0.5348837209302325
0,0.6484594941139221,40,31,121,0.5633802816901409,0.2484472049689441,0.5348837209302325
0,0.6481969952583313,40,32,121,0.5555555555555556,0.2484472049689441,0.5348837209302325
0,0.6477712392807007,41,32,120,0.5616438356164384,0.2546583850931677,0.5348837209302325
0,0.6477543711662292,42,32,119,0.5675675675675675,0.2608695652173913,0.5348837209302325
0,0.6464954614639282,42,33,119,0.56,0.2608695652173913,0.5348837209302325
0,0.6463212966918945,42,34,119,0.5526315789473685,0.2608695652173913,0.5348837209302325
0,0.6458561420440674,42,35,119,0.5454545454545454,0.2608695652173913,0.5348837209302325
0,0.6451278924942017,42,36,119,0.5384615384615384,0.2608695652173913,0.5348837209302325
0,0.6450527906417847,42,37,119,0.5316455696202531,0.2608695652173913,0.5348837209302325
0,0.6439382433891296,42,38,119,0.525,0.2608695652173913,0.5348837209302325
0,0.642701268196106,42,39,119,0.5185185185185185,0.2608695652173913,0.5348837209302325
0,0.6407366394996643,42,40,119,0.5121951219512195,0.2608695652173913,0.5348837209302325
0,0.6401776671409607,42,41,119,0.5060240963855421,0.2608695652173913,0.5348837209302325
0,0.6394888758659363,43,41,118,0.5119047619047619,0.2670807453416149,0.5348837209302325
0,0.6391412019729614,44,41,117,0.5176470588235295,0.2732919254658385,0.5348837209302325
0,0.6367697715759277,44,42,117,0.5116279069767442,0.2732919254658385,0.5348837209302325
0,0.6355507969856262,44,43,117,0.5057471264367817,0.2732919254658385,0.5348837209302325
0,0.6341378688812256,45,43,116,0.5113636363636364,0.2795031055900621,0.5348837209302325
0,0.6275630593299866,45,44,116,0.5056179775280899,0.2795031055900621,0.5348837209302325
0,0.62490314245224,45,45,116,0.5,0.2795031055900621,0.5348837209302325
0,0.6244882941246033,46,45,115,0.5054945054945055,0.2857142857142857,0.5348837209302325
0,0.6210709810256958,47,45,114,0.5108695652173914,0.2919254658385093,0.5348837209302325
0,0.6198561787605286,48,45,113,0.5161290322580645,0.2981366459627329,0.5348837209302325
0,0.6195182800292969,49,45,112,0.5212765957446809,0.30434782608695654,0.5348837209302325
0,0.6184353232383728,49,46,112,0.5157894736842106,0.30434782608695654,0.5348837209302325
0,0.6175470352172852,50,46,111,0.5208333333333334,0.3105590062111801,0.5348837209302325
0,0.6141639947891235,50,47,111,0.5154639175257731,0.3105590062111801,0.5348837209302325
0,0.6119405627250671,51,47,110,0.5204081632653061,0.3167701863354037,0.5348837209302325
0,0.6112290620803833,52,47,109,0.5252525252525253,0.32298136645962733,0.5348837209302325
0,0.6069572567939758,53,47,108,0.53,0.32919254658385094,0.5348837209302325
0,0.6048341393470764,54,47,107,0.5346534653465347,0.33540372670807456,0.5348837209302325
0,0.6047427654266357,54,48,107,0.5294117647058824,0.33540372670807456,0.5348837209302325
0,0.6045144200325012,55,48,106,0.5339805825242718,0.3416149068322981,0.5348837209302325
0,0.604151725769043,55,49,106,0.5288461538461539,0.3416149068322981,0.5348837209302325
0,0.604045033454895,55,50,106,0.5238095238095238,0.3416149068322981,0.5348837209302325
0,0.6029862761497498,56,50,105,0.5283018867924528,0.34782608695652173,0.5348837209302325
0,0.602057158946991,56,51,105,0.5233644859813084,0.34782608695652173,0.5348837209302325
0,0.5995767712593079,56,52,105,0.5185185185185185,0.34782608695652173,0.5348837209302325
0,0.5995690822601318,56,53,105,0.5137614678899083,0.34782608695652173,0.5348837209302325
0,0.5989330410957336,56,54,105,0.509090909090909,0.34782608695652173,0.5348837209302325
0,0.598353385925293,57,54,104,0.5135135135135135,0.35403726708074534,0.5348837209302325
0,0.5971440076828003,58,54,103,0.5178571428571429,0.36024844720496896,0.5348837209302325
0,0.5958508253097534,58,55,103,0.5132743362831859,0.36024844720496896,0.5348837209302325
0,0.5948581695556641,58,56,103,0.5087719298245614,0.36024844720496896,0.5348837209302325
0,0.5948283076286316,58,57,103,0.5043478260869565,0.36024844720496896,0.5348837209302325
0,0.5936316847801208,59,57,102,0.5086206896551724,0.36645962732919257,0.5348837209302325
0,0.5933927297592163,59,58,102,0.5042735042735043,0.36645962732919257,0.5348837209302325
0,0.5928529500961304,59,59,102,0.5,0.36645962732919257,0.5348837209302325
0,0.5927013158798218,60,59,101,0.5042016806722689,0.37267080745341613,0.5348837209302325
0,0.5922319889068604,61,59,100,0.5083333333333333,0.37888198757763975,0.5348837209302325
0,0.5922318696975708,62,59,99,0.512396694214876,0.38509316770186336,0.5348837209302325
0,0.5921085476875305,63,59,98,0.5163934426229508,0.391304347826087,0.5348837209302325
0,0.5920524597167969,64,59,97,0.5203252032520326,0.39751552795031053,0.5348837209302325
0,0.5920354723930359,64,60,97,0.5161290322580645,0.39751552795031053,0.5348837209302325
0,0.5917795300483704,65,60,96,0.52,0.40372670807453415,0.5348837209302325
0,0.591667652130127,65,61,96,0.5158730158730159,0.40372670807453415,0.5348837209302325
0,0.5912209153175354,66,61,95,0.5196850393700787,0.40993788819875776,0.5348837209302325
0,0.590883195400238,67,61,94,0.5234375,0.4161490683229814,0.5348837209302325
