prediction_index,threshold,TPs,FPs,FNs,Precision,Recall,Random-Guess
1,0.16176457703113556,14,47,32,0.22950819672131148,0.30434782608695654,0.15282392026578073
1,0.1611713469028473,14,48,32,0.22580645161290322,0.30434782608695654,0.15282392026578073
1,0.1598670482635498,15,48,31,0.23809523809523808,0.32608695652173914,0.15282392026578073
1,0.15918070077896118,15,49,31,0.234375,0.32608695652173914,0.15282392026578073
1,0.15900331735610962,16,49,30,0.24615384615384617,0.34782608695652173,0.15282392026578073
1,0.1582704782485962,16,50,30,0.24242424242424243,0.34782608695652173,0.15282392026578073
1,0.15713168680667877,16,51,30,0.23880597014925373,0.34782608695652173,0.15282392026578073
1,0.15695910155773163,17,51,29,0.25,0.3695652173913043,0.15282392026578073
1,0.1539389044046402,17,52,29,0.2463768115942029,0.3695652173913043,0.15282392026578073
1,0.15181027352809906,18,52,28,0.2571428571428571,0.391304347826087,0.15282392026578073
1,0.15077020227909088,18,53,28,0.2535211267605634,0.391304347826087,0.15282392026578073
1,0.15012365579605103,18,54,28,0.25,0.391304347826087,0.15282392026578073
1,0.14942045509815216,18,55,28,0.2465753424657534,0.391304347826087,0.15282392026578073
1,0.14889058470726013,18,56,28,0.24324324324324326,0.391304347826087,0.15282392026578073
1,0.1487746387720108,18,57,28,0.24,0.391304347826087,0.15282392026578073
1,0.14872944355010986,18,58,28,0.23684210526315788,0.391304347826087,0.15282392026578073
1,0.14872290194034576,18,59,28,0.23376623376623376,0.391304347826087,0.15282392026578073
1,0.1485995352268219,18,60,28,0.23076923076923078,0.391304347826087,0.15282392026578073
1,0.1483565866947174,19,60,27,0.24050632911392406,0.41304347826086957,0.15282392026578073
1,0.14777053892612457,19,61,27,0.2375,0.41304347826086957,0.15282392026578073
1,0.14615263044834137,20,61,26,0.24691358024691357,0.43478260869565216,0.15282392026578073
1,0.14574703574180603,20,62,26,0.24390243902439024,0.43478260869565216,0.15282392026578073
